pieceVSA_EState3,pieceSlogP_VSA5,pieceMolLogP,pieceVSA_EState10,pieceMaxEStateIndex,pieceFpDensityMorgan1,pieceqed,pieceVSA_EState9,pieceEState_VSA5,pieceMinEStateIndex,pieceVSA_EState1,pieceHallKierAlpha,extender1_ratio,Hs_wt,polyol_ratio,extender2_ratio,mac_rate,preqed,ex1VSA_EState10,ex1EState_VSA8,lg_Eb
41.65498309,2496.823332,88.2701,0,12.75662679,0.023195876,0.007283387,2.546285169,14.21959508,-1.028693004,857.9643467,-105.02,0.33,0.13,0.33,0,100,0.013798049,3.478047144,0,2.755874856
41.66740014,1719.903916,80.6724,0,12.6511005,0.027946537,0.007283387,2.547399546,14.21959508,-1.026334435,575.0041114,-76.16,0.301,0.277,0.199,0,50,0.01379805,3.813117284,0,2.759667845
41.66740014,1719.903916,80.6724,0,12.6511005,0.027946537,0.007283387,2.547399546,14.21959508,-1.026334435,575.0041114,-76.16,0.289,0.277,0.201,0,50,0.01379805,3.813117284,0,2.762678564
41.66740014,1719.903916,80.6724,0,12.6511005,0.027946537,0.007283387,2.547399546,14.21959508,-1.026334435,575.0041114,-76.16,0.314,0.277,0.196,0,50,0.01379805,3.813117284,0,2.764176132
44.48913071,2769.509475,75.2217,0,13.34216718,0.03125,0.006415897,7.930369162,105.9261235,-1.002733315,836.5598587,-93.22,0.249,0.199,0.251,0,100,0.019008174,2.322445244,0,2.767897616
49.53750019,1384.306451,62.9012,13.37946016,13.23328118,0.045822102,0.005532695,2.772802698,14.15746952,-1.080026515,541.4578524,-78.32,0.33,0.183,0.33,0,100,0.010481557,15.84936714,24.26546827,2.773786445
44.16482289,737.8348583,65.2864,0,13.02886941,0.048780488,0.012430822,2.630229501,14.21959508,-0.621146466,601.8164609,-27.56,0.5,0.885,0.017,0,50,0.029847494,3.813117284,0,2.77815125
61.18291961,1476.788973,85.455,0,12.83369477,0.039076377,0.015272342,2.83116164,52.74452482,-0.582649916,488.5612864,-17.2,0.024,0.227,0.476,0,24,0.032530191,3.082768454,10.63357721,2.783903579
50.66875382,2507.950235,91.2657,13.43026567,13.25921406,0.028277635,0.007283331,2.796303617,14.15746952,-1.028711938,831.2237632,-104.82,0.33,0.13,0.33,0,100,0.013798049,15.84936714,24.26546827,2.787460475
43.54482768,1398.862835,113.8244,0,12.64242427,0.031914894,0.009560247,2.606470194,14.21959508,-0.755355489,549.474797,-57.01,0.182,0.027,0.294,0,100,0.018111507,3.813117284,0,2.789580712
